File,Package,Type,Name,Parameters,ReturnType,Annotations,JavaDoc
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\cache\RoomAvailabilityCache.java,com.rvce.scas.cache,Class,RoomAvailabilityCache,,,Slf4j;Component;RequiredArgsConstructor,"<h3>Purpose</h3>
Redis-based cache abstraction for room availability queries (T-102).
Implements the caching strategy with TTL and pattern-based invalidation.

<h3>Key Responsibilities</h3>
<ul>
  <li>Cache room availability results with 60-second TTL</li>
  <li>Handle cache misses gracefully with DB fallback</li>
  <li>Support pattern-based cache invalidation</li>
</ul>

<h3>Dependencies</h3>
Depends on RedisTemplate for Redis operations.

<h3>Transaction Behaviour</h3>
Cache operations are independent of DB transactions.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\cache\RoomAvailabilityCache.java,com.rvce.scas.cache,Method,get,String key,Optional<List<RoomAvailabilityDto>>,,"Retrieves cached room availability data for the given key.
Returns empty Optional on cache miss or deserialization failure.

@param key the cache key
@return optional list of room availability DTOs
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\cache\RoomAvailabilityCache.java,com.rvce.scas.cache,Method,put,"String key, List<RoomAvailabilityDto> data",void,,"Stores room availability data in cache with TTL.
Serializes the DTO list to JSON before storing.

@param key the cache key
@param data the room availability data to cache
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\cache\RoomAvailabilityCache.java,com.rvce.scas.cache,Method,invalidateByDate,LocalDate date,void,,"Invalidates all cache entries for a specific date.
Uses Redis SCAN for non-blocking pattern matching.

@param date the date to invalidate cache for
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\cache\RoomAvailabilityCache.java,com.rvce.scas.cache,Method,invalidateAll,,void,,"Invalidates all room availability cache entries.
Called when timetable data changes globally.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\cache\RoomAvailabilityCache.java,com.rvce.scas.cache,Method,invalidatePattern,String pattern,void,,"Helper method to invalidate keys matching a pattern.
Uses SCAN to avoid blocking Redis with KEYS command.

@param pattern the Redis key pattern to match
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\config\DevDataInitializer.java,com.rvce.scas.config,Class,DevDataInitializer,,,Configuration;Profile,"DevDataInitializer

Initializes test user passwords in development environments.
Only active when spring.profiles.active=dev

This replaces the hardcoded password hash migration (V10) with
a runtime initialization that doesn't expose secrets in git.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\config\DevDataInitializer.java,com.rvce.scas.config,Method,initDevUsers,"UserRepository userRepository, BCryptPasswordEncoder encoder",CommandLineRunner,Bean,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\AdminController.java,com.rvce.scas.controller,Class,AdminController,,,RestController;RequestMapping,"Handles admin-facing endpoints for operational and audit visibility.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\AdminController.java,com.rvce.scas.controller,Method,auditLogs,,"ResponseEntity<Map<String, String>>",GetMapping,"Returns a lightweight success payload for the audit log endpoint.

@return HTTP 200 response with a simple status marker
"
