File,Package,Type,Name,Parameters,ReturnType,Details
c:\Users\kiran\Desktop\rvce-resource-allocator\.editorconfig,,File,.editorconfig,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\.gitignore,,File,.gitignore,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\=,,File,=,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\build.log,,File,build.log,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\build.log~,,File,build.log~,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\docker-build.log,,File,docker-build.log,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\docker-compose.yml,,File,docker-compose.yml,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\nul,,File,nul,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\PROJECT_SETUP.md,,File,PROJECT_SETUP.md,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\reading,,File,reading,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\resolve,,File,resolve,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\transferring,,File,transferring,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\[auth],,File,[auth],,,
c:\Users\kiran\Desktop\rvce-resource-allocator\[backend,,File,[backend,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\[frontend,,File,[frontend,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\[internal],,File,[internal],,,
c:\Users\kiran\Desktop\rvce-resource-allocator\.vscode\settings.json,,File,settings.json,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\.dockerignore,,File,.dockerignore,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\.gitattributes,,File,.gitattributes,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\.gitignore,,File,.gitignore,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\build.gradle.kts,,File,build.gradle.kts,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,File,Dockerfile,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L2,,,FROM gradle:8-jdk17 AS builder
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L4,,,WORKDIR /app
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L5,,,COPY . .
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L8,,,RUN apt-get update && apt-get install -y ca-certificates && rm -rf /var/lib/apt/lists/*
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L10,,,RUN gradle clean build -x test --no-daemon
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L13,,,FROM eclipse-temurin:17-jre-alpine
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L15,,,WORKDIR /app
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L17,,,COPY --from=builder /app/build/libs/*.jar app.jar
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L19,,,EXPOSE 8080
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Dockerfile,,Docker,L21,,,"ENTRYPOINT [""java"", ""-jar"", ""app.jar""]"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\gradle.properties,,File,gradle.properties,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\gradlew,,File,gradlew,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\gradlew.bat,,File,gradlew.bat,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\HELP.md,,File,HELP.md,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\migration.log,,File,migration.log,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\mockmvcprint.txt,,File,mockmvcprint.txt,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\Readme.md,,File,Readme.md,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\settings.gradle.kts,,File,settings.gradle.kts,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\test-output.log,,File,test-output.log,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\test-run-output.txt,,File,test-run-output.txt,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\RoomMapperImpl.java,,File,RoomMapperImpl.java,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\RoomMapperImpl.java,com.rvce.scas.mapper,Class,RoomMapperImpl,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\RoomMapperImpl.java,com.rvce.scas.mapper,Method,toDto,Room room,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\RoomMapperImpl.java,com.rvce.scas.mapper,Method,toDtoList,List<Room> rooms,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\TimetableMapperImpl.java,,File,TimetableMapperImpl.java,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\TimetableMapperImpl.java,com.rvce.scas.mapper,Class,TimetableMapperImpl,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\TimetableMapperImpl.java,com.rvce.scas.mapper,Method,toDto,DayOverride override,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\TimetableMapperImpl.java,com.rvce.scas.mapper,Method,toDtoList,List<DayOverride> overrides,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\generated-sources\annotations\com\rvce\scas\mapper\TimetableMapperImpl.java,com.rvce.scas.mapper,Method,overrideSlotId,DayOverride dayOverride,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\application-test.yml,,File,application-test.yml,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\application.yaml,,File,application.yaml,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,File,V10__fix_seeded_user_passwords.sql,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L1,,,-- ============================================================
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L2,,,-- V10__fix_seeded_user_passwords.sql [REMOVED - SECURITY FIX]
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L3,,,-- This migration has been removed to prevent hardcoded password
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L4,,,-- hashes from being exposed in version control.
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L5,,,--
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L6,,,-- The passwords were already applied in the database from
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L7,,,"-- previous migration runs, so this file is no longer needed."
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L8,,,--
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L9,,,"-- For future test account setup, use environment variables"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L10,,,"-- or Spring Boot configuration profiles (dev, test, prod)."
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L11,,,-- ============================================================
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L12,,,-- DO NOT DELETE THIS FILE - Flyway tracks executed migrations.
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V10__fix_seeded_user_passwords.sql,,SQL,L13,,,-- Keep it as a placeholder so Flyway knows it was executed.
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,File,V1__users_roles.sql,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L1,,,-- ============================================================
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L2,,,-- V1__users_roles.sql
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L3,,,-- SCAS - Smart Campus Allocation System
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L4,,,"-- Auth, RBAC and user identity layer"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L5,,,--
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L6,,,-- DECISION LOG:
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L7,,,--   [D1] UUID PKs (gen_random_uuid): avoids central sequence
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\bin\main\db\migration\V1__users_roles.sql,,SQL,L8,,,--        bottleneck when we scale to multiple Spring pods.
